year,league_id,team_id,park_id,span_first,span_last,games,openings,attendance
1895,NL,BLN,BAL07,1895-04-18,1895-09-26,67,1,14000
1895,NL,BRO,NYC11,1895-05-01,1895-09-25,67,1,15000
1895,NL,BSN,BOS05,1895-04-19,1895-09-21,68,1,15000
1895,NL,CHN,CHI08,1895-05-02,1895-09-29,67,0,0
1895,NL,CIN,CIN05,1895-04-18,1895-09-21,65,1,17000
1895,NL,CL4,CLE05,1895-05-01,1895-09-21,62,0,0
1895,NL,LS3,LOU03,1895-04-18,1895-09-29,59,1,5000
1895,NL,NY1,NYC10,1895-04-18,1895-09-30,67,2,20400
1895,NL,PHI,PHI09,1895-05-02,1895-09-30,73,2,21000
1895,NL,PIT,PIT05,1895-05-01,1895-09-18,67,0,0
1895,NL,SLN,STL05,1895-04-18,1895-09-28,68,1,6000
1895,NL,WAS,WAS06,1895-04-20,1895-09-30,69,2,5200
1896,NL,BLN,BAL07,1896-04-16,1896-09-22,67,0,0
1896,NL,BRO,NYC11,1896-04-29,1896-09-22,65,0,0
1896,NL,BSN,BOS05,1896-04-20,1896-09-07,67,0,0
1896,NL,CHN,CHI08,1896-04-30,1896-08-13,68,0,0
1896,NL,CIN,CIN05,1896-04-16,1896-09-20,66,0,0
1896,NL,CL4,CLE05,1896-05-02,1896-09-26,64,0,0
1896,NL,LS3,LOU03,1896-04-16,1896-09-15,64,0,0
1896,NL,NY1,NYC10,1896-04-21,1896-09-26,66,0,0
1896,NL,PHI,PHI09,1896-04-16,1896-09-26,69,0,0
1896,NL,PIT,PIT05,1896-04-21,1896-09-21,66,0,0
1896,NL,SLN,STL05,1896-04-16,1896-09-26,62,0,0
1896,NL,WAS,WAS06,1896-04-16,1896-09-26,68,0,0
1897,NL,BLN,BAL07,1897-04-22,1897-10-02,69,1,25000
1897,NL,BRO,NYC11,1897-05-03,1897-10-02,70,0,0
1897,NL,BSN,BOS05,1897-04-19,1897-09-22,67,1,14500
1897,NL,CHN,CHI08,1897-05-04,1897-09-19,67,0,0
1897,NL,CIN,CIN05,1897-04-22,1897-09-19,68,2,29000
1897,NL,CL4,CLE05,1897-05-03,1897-09-26,65,0,0
1897,NL,LS3,LOU03,1897-04-22,1897-10-03,68,1,10000
1897,NL,NY1,NYC10,1897-04-26,1897-10-02,76,2,30000
1897,NL,PHI,PHI09,1897-04-22,1897-09-22,67,0,0
1897,NL,PIT,PIT05,1897-05-03,1897-10-02,65,0,0
1897,NL,SLN,STL05,1897-04-22,1897-10-03,61,1,10000
1897,NL,WAS,WAS06,1897-04-22,1897-09-14,68,0,0
1898,NL,BLN,BAL07,1898-04-16,1898-10-15,76,0,0
1898,NL,BRO,NYC12,1898-04-30,1898-10-12,72,0,0
1898,NL,BRO,WNY01,1898-09-18,1898-10-02,2,1,2000
1898,NL,BSN,BOS05,1898-04-19,1898-10-04,79,0,0
1898,NL,CHN,CHI08,1898-04-29,1898-10-09,89,0,0
1898,NL,CIN,CIN05,1898-04-15,1898-10-09,89,0,0
1898,NL,CL4,CHI08,1898-10-08,1898-10-08,1,0,0
1898,NL,CL4,CLE05,1898-04-29,1898-08-26,40,0,0
1898,NL,CL4,CLL01,1898-06-12,1898-06-19,2,0,0
1898,NL,CL4,PHI09,1898-07-29,1898-08-11,9,0,0
1898,NL,CL4,ROC02,1898-08-27,1898-08-29,2,0,0
1898,NL,CL4,ROC03,1898-08-28,1898-08-28,1,0,0
1898,NL,CL4,STL05,1898-09-28,1898-09-29,2,0,0
1898,NL,LS3,LOU03,1898-04-15,1898-10-15,79,1,5000
1898,NL,NY1,NYC10,1898-04-16,1898-10-15,75,0,0
1898,NL,NY1,WNY01,1898-09-11,1898-09-11,1,0,0
1898,NL,PHI,PHI09,1898-04-16,1898-10-15,81,0,0
1898,NL,PIT,PIT05,1898-04-29,1898-10-13,75,0,0
1898,NL,SLN,STL05,1898-04-15,1898-10-07,66,0,0
1898,NL,WAS,WAS06,1898-04-18,1898-10-12,80,0,0
1899,NL,BLN,BAL07,1899-04-15,1899-10-10,77,0,0
1899,NL,BRO,NYC12,1899-04-15,1899-10-14,78,0,0
1899,NL,BSN,BOS05,1899-04-19,1899-10-14,80,1,15000
1899,NL,CHN,CHI08,1899-04-27,1899-10-15,85,0,0
1899,NL,CIN,CIN05,1899-04-15,1899-10-15,88,0,0
1899,NL,CL4,CLE05,1899-05-01,1899-08-30,41,0,0
1899,NL,CL4,STL05,1899-09-24,1899-09-24,1,0,0
1899,NL,LS3,LOU03,1899-04-14,1899-08-02,51,0,0
1899,NL,LS3,LOU04,1899-08-22,1899-09-02,12,0,0
1899,NL,NY1,NYC10,1899-04-20,1899-10-11,72,0,0
1899,NL,NY1,WNY01,1899-06-04,1899-09-17,4,0,0
1899,NL,PHI,PHI09,1899-04-14,1899-10-10,83,1,12000
1899,NL,PIT,PIT05,1899-04-28,1899-10-14,85,1,6000
1899,NL,SLN,STL05,1899-04-15,1899-10-09,87,1,15000
1899,NL,WAS,WAS06,1899-04-18,1899-10-14,79,0,0
1900,NL,BRO,NYC12,4/21/00,10/12/00,73,4,37700
1900,NL,BSN,BOS05,4/19/00,10/4/00,73,11,43800
1900,NL,CHN,CHI08,4/27/00,10/8/00,77,5,23250
1900,NL,CIN,CIN05,4/19/00,10/5/00,63,3,18500
1900,NL,NY1,NYC10,4/19/00,10/13/00,71,6,50800
1900,NL,PHI,PHI09,4/20/00,10/13/00,70,5,51779
1900,NL,PIT,PIT05,4/26/00,10/13/00,70,2,15100
1900,NL,SLN,STL05,4/19/00,10/14/00,72,5,48000
1901,AL,BLA,BAL09,4/26/01,9/28/01,66,0,0
1901,AL,BOS,BOS06,5/8/01,9/28/01,69,0,0
1901,NL,BRO,NYC12,4/19/01,10/5/01,68,3,20800
1901,NL,BSN,BOS05,4/19/01,9/14/01,70,1,2500
1901,AL,CHA,CHI09,4/24/01,9/15/01,71,3,16700
1901,NL,CHN,CHI08,4/26/01,10/6/01,70,0,0
1901,NL,CIN,CIN05,4/20/01,10/6/01,72,0,0
1901,AL,CLE,CLE05,4/29/01,9/13/01,69,3,12655
1901,AL,DET,DET02,4/25/01,9/14/01,57,2,15948
1901,AL,DET,DET03,4/28/01,9/15/01,13,0,0
1901,AL,MLA,MIL04,5/3/01,9/12/01,70,2,6000
1901,NL,NY1,NYC10,4/26/01,9/16/01,71,2,31000
1901,AL,PHA,PHI10,4/26/01,9/28/01,66,0,0
1901,NL,PHI,PHI09,4/18/01,10/5/01,69,1,20000
1901,NL,PIT,PIT05,4/27/01,10/2/01,69,0,0
1901,NL,SLN,STL05,4/19/01,9/30/01,72,0,0
1901,AL,WS1,WAS07,4/29/01,9/27/01,68,1,8000
1902,AL,BLA,BAL09,4/23/02,9/29/02,64,0,0
1902,AL,BOS,BOS06,4/19/02,9/18/02,71,0,0
1902,NL,BRO,NYC12,4/17/02,9/30/02,69,0,0
1902,NL,BSN,BOS05,4/19/02,10/4/02,72,0,0
1902,AL,CHA,CHI09,4/23/02,9/25/02,72,0,0
1902,NL,CHN,CHI08,4/21/02,9/28/02,72,0,0
1902,NL,CIN,CIN06,4/17/02,9/28/02,70,0,0
1902,AL,CLE,CAN01,6/15/02,6/15/02,1,0,0
1902,AL,CLE,CLE05,5/6/02,9/23/02,60,0,0
1902,AL,CLE,COL03,8/3/02,8/3/02,1,0,0
1902,AL,CLE,DAY01,6/8/02,6/8/02,1,0,0
1902,AL,CLE,FOR03,6/22/02,8/31/02,2,0,0
1902,AL,DET,DET02,5/1/02,9/27/02,57,0,0
1902,AL,DET,DET03,5/4/02,9/7/02,10,0,0
1902,NL,NY1,NYC10,4/17/02,9/29/02,71,0,0
1902,AL,PHA,PHI10,5/2/02,9/24/02,73,0,0
1902,NL,PHI,PHI09,4/18/02,10/3/02,69,0,0
1902,NL,PIT,PIT05,4/22/02,10/4/02,71,0,0
1902,AL,SLA,STL06,4/23/02,9/28/02,73,0,0
1902,NL,SLN,STL05,4/17/02,10/5/02,70,0,0
1902,AL,WS1,WAS07,4/23/02,9/27/02,68,0,0
1903,AL,BOS,BOS06,4/20/03,9/28/03,70,0,0
1903,NL,BRO,NYC12,4/21/03,9/9/03,73,0,0
1903,NL,BSN,BOS05,4/20/03,9/8/03,67,0,0
1903,NL,BSN,WAR01,9/6/03,9/6/03,1,0,0
1903,AL,CHA,CHI09,5/1/03,9/6/03,70,0,0
1903,NL,CHN,CHI08,4/22/03,9/27/03,73,0,0
1903,NL,CIN,CIN06,4/16/03,9/27/03,76,0,0
1903,AL,CLE,CAN01,5/10/03,6/21/03,2,0,0
1903,AL,CLE,CLE05,4/28/03,9/12/03,71,0,0
1903,AL,CLE,COL03,5/17/03,5/17/03,1,0,0
1903,AL,DET,DET02,4/22/03,9/14/03,62,0,0
1903,AL,DET,GRA01,5/24/03,5/24/03,1,0,0
1903,AL,DET,TOL04,6/28/03,8/16/03,2,0,0
1903,NL,NY1,NYC10,4/17/03,9/8/03,70,0,0
1903,AL,NYA,NYC13,4/30/03,9/29/03,67,0,0
1903,AL,PHA,PHI10,4/22/03,9/29/03,67,0,0
1903,NL,PHI,PHI09,4/17/03,8/8/03,45,0,0
1903,NL,PHI,PHI10,8/20/03,9/10/03,16,0,0
1903,NL,PIT,PIT05,4/21/03,9/26/03,70,0,0
1903,AL,SLA,STL06,4/22/03,9/13/03,70,0,0
1903,NL,SLN,STL05,4/16/03,9/27/03,69,0,0
1903,AL,WS1,WAS07,4/22/03,9/28/03,71,0,0
1904,AL,BOS,BOS06,4/18/04,10/8/04,81,0,0
1904,NL,BRO,NYC12,4/14/04,10/8/04,76,0,0
1904,NL,BSN,BOS05,4/21/04,10/5/04,79,0,0
1904,AL,CHA,CHI09,4/14/04,10/9/04,78,0,0
1904,NL,CHN,CHI08,4/21/04,10/9/04,78,0,0
1904,NL,CIN,CIN06,4/14/04,9/13/04,79,0,0
1904,AL,CLE,CLE05,4/22/04,10/6/04,78,0,0
1904,AL,DET,DET02,4/22/04,10/8/04,79,0,0
1904,NL,NY1,NYC10,4/21/04,10/4/04,84,0,0
1904,AL,NYA,NWK01,7/17/04,7/17/04,1,0,0
1904,AL,NYA,NYC13,4/14/04,10/10/04,74,0,0
1904,AL,PHA,PHI10,4/21/04,9/16/04,79,0,0
1904,NL,PHI,PHI09,4/14/04,10/8/04,73,0,0
1904,NL,PIT,PIT05,4/21/04,10/8/04,78,0,0
1904,AL,SLA,STL06,4/14/04,10/5/04,78,0,0
1904,NL,SLN,STL05,4/15/04,10/9/04,76,0,0
1904,AL,WS1,WAS08,4/14/04,10/10/04,78,0,0
1905,AL,BOS,BOS06,4/21/05,10/7/05,77,0,0
1905,NL,BRO,NYC12,4/14/05,10/7/05,77,0,0
1905,NL,BSN,BOS05,4/18/05,9/20/05,76,0,0
1905,AL,CHA,CHI09,4/14/05,9/17/05,82,0,0
1905,NL,CHN,CHI08,4/19/05,10/8/05,81,0,0
1905,NL,CIN,CIN06,4/14/05,10/8/05,79,0,0
1905,AL,CLE,CLE05,4/15/05,10/7/05,77,0,0
1905,AL,DET,COL04,7/23/05,7/24/05,2,0,0
1905,AL,DET,DET02,4/19/05,9/16/05,74,0,0
1905,NL,NY1,NYC10,4/14/05,10/7/05,76,0,0
1905,AL,NYA,NYC13,4/22/05,10/3/05,75,0,0
1905,AL,PHA,PHI10,4/14/05,10/4/05,74,0,0
1905,NL,PHI,PHI09,4/22/05,9/20/05,76,0,0
1905,NL,PIT,PIT05,4/19/05,10/7/05,78,0,0
1905,AL,SLA,STL06,4/19/05,10/8/05,79,0,0
1905,NL,SLN,STL05,4/14/05,10/3/05,77,0,0
1905,AL,WS1,WAS08,4/14/05,10/7/05,77,0,0
1906,AL,BOS,BOS06,4/17/06,10/6/06,77,2,11156
1906,NL,BRO,NYC12,4/12/06,10/2/06,76,8,57500
1906,NL,BSN,BOS05,4/20/06,10/4/06,76,5,11333
1906,AL,CHA,CHI09,4/20/06,10/7/06,79,13,140297
1906,NL,CHN,CHI08,4/17/06,9/16/06,79,13,118000
1906,NL,CIN,CIN06,4/12/06,10/7/06,78,4,16000
1906,AL,CLE,CLE05,4/30/06,10/3/06,79,1,11081
1906,AL,DET,DET02,4/17/06,9/28/06,78,1,317
1906,NL,NY1,NYC10,4/20/06,10/5/06,75,10,104450
1906,AL,NYA,NYC13,4/14/06,9/12/06,76,5,44500
1906,AL,PHA,PHI10,4/18/06,10/3/06,73,6,74970
1906,NL,PHI,PHI09,4/12/06,10/1/06,77,1,4582
1906,NL,PIT,PIT05,4/17/06,10/4/06,77,7,79717
1906,AL,SLA,STL06,4/17/06,10/7/06,76,3,20800
1906,NL,SLN,STL05,4/12/06,10/7/06,77,2,25000
1906,AL,WS1,WAS08,4/14/06,10/3/06,75,6,26933
1907,AL,BOS,BOS06,4/16/07,10/3/07,78,0,0
1907,NL,BRO,NYC12,4/16/07,9/17/07,77,0,0
1907,NL,BSN,BOS05,4/12/07,10/5/07,74,0,0
1907,AL,CHA,CHI09,4/18/07,10/6/07,79,0,0
1907,NL,CHN,CHI08,4/11/07,10/2/07,76,0,0
1907,NL,CIN,CIN06,4/11/07,10/6/07,81,0,0
1907,AL,CLE,CLE05,4/18/07,9/19/07,82,0,0
1907,AL,DET,DET02,4/11/07,9/18/07,79,0,0
1907,NL,NY1,NYC10,4/11/07,9/10/07,77,0,0
1907,AL,NYA,NYC13,4/16/07,10/5/07,75,0,0
1907,AL,PHA,PHI10,4/11/07,10/3/07,73,0,0
1907,NL,PHI,PHI09,4/16/07,10/5/07,75,0,0
1907,NL,PIT,PIT05,4/17/07,10/3/07,77,0,0
1907,AL,SLA,STL06,4/11/07,10/6/07,76,0,0
1907,NL,SLN,STL05,4/19/07,10/6/07,79,0,0
1907,AL,WS1,WAS08,4/11/07,10/5/07,75,0,0
1908,AL,BOS,BOS06,4/14/08,10/7/08,77,4,32063
1908,NL,BRO,NYC12,4/14/08,10/3/08,77,1,17500
1908,NL,BSN,BOS05,4/22/08,9/30/08,78,1,5224
1908,AL,CHA,CHI09,4/14/08,10/6/08,78,0,0
1908,NL,CHN,CHI08,4/22/08,10/4/08,78,0,0
1908,NL,CIN,CIN06,4/14/08,10/4/08,77,2,20157
1908,AL,CLE,CLE05,4/14/08,10/3/08,78,0,0
1908,AL,DET,DET02,4/17/08,10/3/08,78,0,0
1908,NL,NY1,NYC10,4/22/08,10/8/08,80,0,0
1908,AL,NYA,NYC13,4/14/08,10/3/08,77,0,0
1908,AL,PHA,PHI10,4/22/08,10/3/08,78,3,9611
1908,NL,PHI,PHI09,4/14/08,10/7/08,78,0,0
1908,NL,PIT,PIT05,4/22/08,9/30/08,77,0,0
1908,AL,SLA,STL06,4/24/08,10/6/08,78,0,0
1908,NL,SLN,STL05,4/15/08,10/3/08,77,0,0
1908,AL,WS1,WAS08,4/22/08,10/8/08,78,0,0
1909,AL,BOS,BOS06,4/21/09,10/2/09,75,0,0
1909,NL,BRO,NYC12,4/22/09,10/7/09,79,0,0
1909,NL,BSN,BOS05,4/14/09,9/14/09,76,0,0
1909,AL,CHA,CHI09,4/22/09,10/3/09,81,0,0
1909,NL,CHN,CHI08,4/14/09,10/4/09,77,0,0
1909,NL,CIN,CIN06,4/14/09,10/5/09,80,0,0
1909,AL,CLE,CLE05,4/22/09,9/6/09,77,0,0
1909,AL,DET,DET02,4/14/09,10/2/09,78,0,0
1909,NL,NY1,NYC10,4/15/09,10/4/09,77,0,0
1909,AL,NYA,NYC13,4/22/09,10/1/09,77,0,0
1909,AL,PHA,PHI11,4/12/09,10/2/09,76,0,0
1909,NL,PHI,PHI09,4/22/09,10/7/09,77,0,0
1909,NL,PIT,PIT05,4/22/09,6/29/09,25,0,0
1909,NL,PIT,PIT06,6/30/09,9/30/09,54,0,0
1909,AL,SLA,STL07,4/14/09,10/3/09,79,0,0
1909,NL,SLN,STL05,4/22/09,10/6/09,76,0,0
1909,AL,WS1,WAS08,4/12/09,10/1/09,77,0,0
1910,AL,BOS,BOS06,4/19/10,9/13/10,80,0,0
1910,NL,BRO,NYC12,4/20/10,10/12/10,80,0,0
1910,NL,BSN,BOS05,4/14/10,10/8/10,78,0,0
1910,AL,CHA,CHI09,4/14/10,6/27/10,28,0,0
1910,AL,CHA,CHI10,7/1/10,10/9/10,51,0,0
1910,NL,CHN,CHI08,4/21/10,10/15/10,77,0,0
1910,NL,CIN,CIN06,4/14/10,10/9/10,77,0,0
1910,AL,CLE,CLE06,4/21/10,9/29/10,80,0,0
1910,AL,DET,DET02,4/14/10,10/5/10,78,0,0
1910,NL,NY1,NYC10,4/20/10,10/11/10,79,0,0
1910,AL,NYA,NYC13,4/14/10,10/8/10,77,0,0
1910,AL,PHA,PHI11,4/20/10,10/6/10,78,0,0
1910,NL,PHI,PHI09,4/14/10,9/29/10,78,0,0
1910,NL,PIT,PIT06,4/21/10,10/8/10,76,0,0
1910,AL,SLA,STL07,4/21/10,10/9/10,79,0,0
1910,NL,SLN,STL05,4/14/10,10/4/10,76,0,0
1910,AL,WS1,WAS08,4/14/10,10/6/10,77,0,0
1911,AL,BOS,BOS06,4/21/11,10/7/11,76,6,58864
1911,NL,BRO,NYC12,4/21/11,10/10/11,74,53,260650
1911,NL,BSN,BOS05,4/12/11,9/14/11,75,25,86152
1911,AL,CHA,CHI10,4/20/11,10/8/11,78,9,129500
1911,NL,CHN,CHI08,4/12/11,10/9/11,84,16,145000
1911,NL,CIN,CIN06,4/12/11,10/12/11,82,15,95000
1911,AL,CLE,CLE06,4/20/11,10/4/11,77,5,48488
1911,AL,DET,DET02,4/13/11,9/10/11,76,2,6147
1911,NL,NY1,NYC10,4/12/11,4/13/11,2,1,10000
1911,NL,NY1,NYC13,4/15/11,5/30/11,28,23,198500
1911,NL,NY1,NYC14,6/28/11,10/12/11,45,37,525500
1911,AL,NYA,NYC13,4/21/11,10/4/11,77,7,61850
1911,AL,PHA,PHI11,4/12/11,10/6/11,75,3,35000
1911,NL,PHI,PHI09,4/21/11,10/9/11,76,6,43000
1911,NL,PIT,PIT06,4/20/11,10/2/11,78,49,283644
1911,AL,SLA,STL07,4/12/11,10/8/11,78,3,20066
1911,NL,SLN,STL05,4/20/11,10/5/11,79,12,89000
1911,AL,WS1,WAS09,4/12/11,10/4/11,77,1,16000
1912,AL,BOS,BOS07,4/20/12,9/26/12,78,0,0
1912,NL,BRO,NYC12,4/11/12,10/5/12,76,0,0
1912,NL,BSN,BOS05,4/11/12,10/5/12,79,0,0
1912,AL,CHA,CHI10,4/11/12,9/29/12,78,0,0
1912,NL,CHN,CHI08,4/20/12,10/6/12,78,0,0
1912,NL,CIN,CIN07,4/11/12,10/6/12,77,0,0
1912,AL,CLE,CLE06,4/11/12,9/29/12,77,0,0
1912,AL,DET,DET04,4/20/12,10/6/12,76,0,0
1912,NL,NY1,NYC14,4/19/12,10/2/12,76,0,0
1912,AL,NYA,NYC13,4/11/12,10/5/12,73,0,0
1912,AL,NYA,NYC14,5/30/12,9/2/12,3,0,0
1912,AL,PHA,PHI11,4/11/12,10/5/12,77,0,0
1912,NL,PHI,PHI09,4/19/12,9/21/12,75,0,0
1912,NL,PIT,PIT06,4/18/12,9/28/12,75,0,0
1912,AL,SLA,STL07,4/18/12,10/6/12,79,0,0
1912,NL,SLN,STL05,4/11/12,10/1/12,77,0,0
1912,AL,WS1,WAS09,4/19/12,10/1/12,78,0,0
1913,AL,BOS,BOS07,4/10/13,9/27/13,75,0,0
1913,NL,BRO,NYC15,4/9/13,9/27/13,77,0,0
1913,NL,BSN,BOS05,4/17/13,10/3/13,73,0,0
1913,NL,BSN,BOS07,4/19/13,5/30/13,4,0,0
1913,AL,CHA,CHI10,4/17/13,9/28/13,77,0,0
1913,NL,CHN,CHI08,4/12/13,10/5/13,76,0,0
1913,NL,CIN,CIN07,4/12/13,9/28/13,78,0,0
1913,AL,CLE,CLE06,4/11/13,10/5/13,80,0,0
1913,AL,DET,DET04,4/17/13,10/5/13,76,0,0
1913,NL,NY1,NYC14,4/10/13,10/4/13,81,0,0
1913,AL,NYA,NYC14,4/17/13,9/30/13,75,0,0
1913,AL,PHA,PHI11,4/17/13,10/4/13,76,0,0
1913,NL,PHI,PHI09,4/10/13,9/30/13,78,0,0
1913,NL,PIT,PIT06,4/17/13,9/26/13,79,0,0
1913,AL,SLA,STL07,4/10/13,9/7/13,77,0,0
1913,NL,SLN,STL05,4/17/13,10/5/13,74,0,0
1913,AL,WS1,WAS09,4/10/13,10/4/13,78,0,0
1914,FL,BLF,BAL10,4/13/14,10/10/14,83,29,137492
1914,AL,BOS,BOS07,4/14/14,10/7/14,79,11,105823
1914,FL,BRF,NYC19,5/11/14,10/3/14,80,21,73300
1914,NL,BRO,NYC15,4/14/14,10/6/14,79,51,298500
1914,NL,BSN,BOS05,4/23/14,8/11/14,50,38,223900
1914,NL,BSN,BOS07,8/1/14,9/29/14,29,20,248562
1914,FL,BUF,BUF04,5/11/14,10/7/14,79,48,137298
1914,AL,CHA,CHI10,4/14/14,10/4/14,81,39,359300
1914,FL,CHF,CHI11,4/23/14,10/8/14,77,9,54700
1914,NL,CHN,CHI08,4/22/14,9/14/14,76,38,273900
1914,NL,CIN,CIN07,4/14/14,10/5/14,77,21,141800
1914,AL,CLE,CLE06,4/22/14,9/30/14,79,66,228866
1914,AL,DET,DET04,4/14/14,10/4/14,78,63,376708
1914,FL,IND,IND07,4/23/14,10/8/14,80,17,51150
1914,FL,KCF,KAN04,4/16/14,9/6/14,74,26,52877
1914,NL,NY1,NYC14,4/23/14,10/6/14,80,62,559300
1914,AL,NYA,NYC14,4/14/14,9/15/14,78,70,508800
1914,AL,PHA,PHI11,4/23/14,10/7/14,78,60,372300
1914,NL,PHI,PHI09,4/14/14,10/1/14,78,23,116000
1914,NL,PIT,PIT06,4/23/14,10/3/14,77,11,79500
1914,FL,PTF,PIT05,4/14/14,10/10/14,75,42,131750
1914,AL,SLA,STL07,4/22/14,10/1/14,81,66,344700
1914,FL,SLF,STL08,4/16/14,9/4/14,76,7,27900
1914,NL,SLN,STL05,4/14/14,10/5/14,79,16,106500
1914,AL,WS1,WAS09,4/23/14,10/1/14,77,66,274715
1915,FL,BLF,BAL10,4/10/15,10/2/15,75,4,25391
1915,AL,BOS,BOS07,4/22/15,9/27/15,76,33,366173
1915,FL,BRF,NYC19,4/10/15,9/30/15,74,11,29500
1915,NL,BRO,NYC15,4/22/15,9/28/15,78,9,69800
1915,NL,BSN,BOS07,4/14/15,7/26/15,52,33,179273
1915,NL,BSN,BOS08,8/18/15,10/7/15,26,19,201800
1915,FL,BUF,BUF04,4/17/15,9/8/15,77,9,37816
1915,AL,CHA,CHI10,4/22/15,10/3/15,79,71,660650
1915,FL,CHF,CHI11,4/10/15,10/3/15,78,17,113612
1915,NL,CHN,CHI08,4/14/15,10/3/15,77,59,344750
1915,NL,CIN,CIN07,4/14/15,10/3/15,79,61,250300
1915,AL,CLE,CLE06,4/22/15,9/29/15,77,65,203409
1915,AL,DET,DET04,4/14/15,10/3/15,77,5,30252
1915,FL,KCF,KAN04,4/10/15,9/28/15,77,7,50350
1915,FL,NEW,HAR01,4/16/15,10/3/15,79,12,130532
1915,NL,NY1,NYC14,4/14/15,9/30/15,76,11,96800
1915,AL,NYA,NYC14,4/22/15,10/7/15,82,19,130791
1915,AL,PHA,PHI11,4/14/15,9/27/15,74,4,16500
1915,NL,PHI,PHI09,4/22/15,10/6/15,76,55,507000
1915,NL,PIT,PIT06,4/22/15,9/25/15,79,15,85000
1915,FL,PTF,PIT05,4/17/15,10/2/15,77,1,6000
1915,AL,SLA,STL07,4/14/15,9/5/15,76,62,233850
1915,FL,SLF,STL08,4/17/15,10/3/15,82,4,17700
1915,NL,SLN,STL05,4/22/15,10/2/15,81,4,31200
1915,AL,WS1,WAS09,4/14/15,10/6/15,80,1,15556
1916,AL,BOS,BOS07,4/12/16,10/2/16,76,0,0
1916,AL,BOS,BOS08,10/3/16,10/3/16,2,0,0
1916,NL,BRO,NYC15,4/12/16,10/5/16,78,28,284000
1916,NL,BSN,BOS08,4/20/16,9/27/16,78,2,26000
1916,AL,CHA,CHI10,4/12/16,9/25/16,77,0,0
1916,NL,CHN,CHI11,4/20/16,10/1/16,79,4,74000
1916,NL,CIN,CIN07,4/12/16,10/1/16,76,2,8500
1916,AL,CLE,CLE06,4/12/16,10/1/16,78,0,0
1916,AL,DET,DET04,4/20/16,9/25/16,77,1,15000
1916,NL,NY1,NYC14,4/20/16,9/30/16,78,21,326000
1916,AL,NYA,NYC14,4/12/16,10/4/16,79,0,0
1916,AL,PHA,PHI11,4/20/16,9/30/16,76,0,0
1916,NL,PHI,PHI09,4/12/16,10/5/16,79,10,99500
1916,NL,PIT,PIT06,4/20/16,9/30/16,78,17,86000
1916,AL,SLA,STL07,4/21/16,10/1/16,79,0,0
1916,NL,SLN,STL05,4/12/16,9/10/16,76,3,24500
1916,AL,WS1,WAS09,4/20/16,9/12/16,81,0,0
1917,AL,BOS,BOS07,4/21/17,10/4/17,80,52,402985
1917,NL,BRO,NYC15,4/11/17,10/4/17,78,15,110500
1917,NL,BSN,BOS08,4/12/17,9/15/17,77,1,2500
1917,AL,CHA,CHI10,4/19/17,9/16/17,79,64,741000
1917,NL,CHN,CHI11,4/11/17,9/30/17,77,60,352550
1917,NL,CIN,CIN07,4/11/17,9/30/17,80,1,10000
1917,AL,CLE,CLE06,4/19/17,9/30/17,78,13,114671
1917,AL,DET,DET04,4/11/17,9/16/17,76,61,386137
1917,NL,NY1,NYC14,4/20/17,9/12/17,80,0,0
1917,AL,NYA,NYC14,4/11/17,10/3/17,75,55,421600
1917,AL,PHA,PHI11,4/11/17,9/29/17,76,57,223050
1917,NL,PHI,PHI09,4/20/17,10/3/17,76,2,11173
1917,NL,PIT,PIT06,4/19/17,10/1/17,79,0,0
1917,AL,SLA,STL07,4/11/17,9/15/17,78,60,278150
1917,NL,SLN,STL05,4/19/17,9/30/17,78,54,324600
1917,AL,WS1,WAS09,4/20/17,9/29/17,80,61,145386
1918,AL,BOS,BOS07,4/15/18,8/31/18,70,3,26000
1918,NL,BRO,NYC15,4/24/18,8/28/18,54,1,5000
1918,NL,BSN,BOS08,4/24/18,9/2/18,52,36,127250
1918,AL,CHA,CHI10,4/16/18,9/1/18,56,2,39000
1918,NL,CHN,CHI11,4/24/18,9/1/18,74,1,2000
1918,NL,CIN,CIN07,4/16/18,9/2/18,71,0,0
1918,AL,CLE,CLE06,4/18/18,8/12/18,62,3,36000
1918,AL,DET,DET04,4/24/18,9/2/18,58,0,0
1918,NL,NY1,NYC14,4/16/18,8/31/18,56,20,251700
1918,AL,NYA,NYC14,4/24/18,9/2/18,67,1,8000
1918,AL,PHA,PHI11,4/24/18,8/28/18,68,0,0
1918,NL,PHI,PHI09,4/16/18,9/2/18,57,30,113500
1918,NL,PIT,PIT06,4/25/18,9/2/18,71,7,56000
1918,AL,SLA,STL07,4/26/18,9/1/18,53,0,0
1918,NL,SLN,STL05,4/16/18,8/26/18,73,2,16200
1918,AL,WS1,WAS09,4/15/18,9/2/18,74,5,57730
1919,AL,BOS,BOS07,5/1/19,9/20/19,66,7,67000
1919,NL,BRO,NYC15,5/2/19,9/7/19,70,56,450000
1919,NL,BSN,BOS08,4/19/19,9/27/19,68,10,42500
1919,AL,CHA,CHI10,5/2/19,9/28/19,70,15,294000
1919,NL,CHN,CHI11,4/24/19,9/21/19,71,17,177456
1919,NL,CIN,CIN07,4/23/19,9/28/19,70,18,285151
1919,AL,CLE,CLE06,5/1/19,9/28/19,69,3,37000
1919,AL,DET,DET04,4/25/19,9/25/19,70,13,229000
1919,NL,NY1,NYC14,5/2/19,9/28/19,69,43,806000
1919,AL,NYA,NYC14,4/23/19,9/26/19,73,54,729500
